id=13;time=2016-06-25 17:13:43;t1=20.19;t2=19.81;v=163;milli=1391570;
id=13;time=2016-06-25 17:14:14;t1=20.25;t2=19.88;v=163;milli=1422461;
id=13;time=2016-06-25 17:14:46;t1=20.25;t2=19.81;v=163;milli=1453353;
id=13;time=2016-06-25 17:15:17;t1=20.25;t2=19.75;v=163;milli=1484244;
id=13;time=2016-06-25 17:15:48;t1=20.25;t2=19.75;v=163;milli=1515137;
id=13;time=2016-06-25 17:16:20;t1=20.25;t2=19.69;v=163;milli=1546028;
id=13;time=2016-06-25 17:16:51;t1=20.25;t2=19.56;v=163;milli=1576920;
id=13;time=2016-06-25 17:17:23;t1=20.25;t2=19.56;v=163;milli=1607817;
id=13;time=2016-06-25 17:17:54;t1=20.25;t2=19.50;v=163;milli=1638709;
id=13;time=2016-06-25 17:18:26;t1=20.19;t2=19.44;v=163;milli=1669599;
id=13;time=2016-06-25 17:18:57;t1=20.19;t2=19.38;v=163;milli=1700492;
id=13;time=2016-06-25 17:19:28;t1=20.13;t2=19.31;v=163;milli=1731384;
id=13;time=2016-06-25 17:20:00;t1=20.06;t2=19.19;v=163;milli=1762276;
id=13;time=2016-06-25 17:20:31;t1=20.00;t2=19.13;v=163;milli=1793168;
id=13;time=2016-06-25 17:21:03;t1=20.00;t2=19.13;v=163;milli=1824078;
id=13;time=2016-06-25 17:21:34;t1=20.00;t2=19.06;v=163;milli=1854972;
id=13;time=2016-06-25 17:22:05;t1=20.00;t2=19.00;v=163;milli=1885867;
id=13;time=2016-06-25 17:22:37;t1=20.00;t2=18.94;v=163;milli=1916761;
id=13;time=2016-06-25 17:23:08;t1=20.00;t2=18.81;v=163;milli=1947657;
id=13;time=2016-06-25 17:23:40;t1=20.00;t2=18.75;v=163;milli=1978550;
id=13;time=2016-06-25 17:24:11;t1=20.00;t2=18.69;v=163;milli=2009445;
id=13;time=2016-06-25 17:24:43;t1=19.94;t2=18.63;v=163;milli=2040345;
id=13;time=2016-06-25 17:25:14;t1=19.94;t2=18.56;v=163;milli=2071239;
id=13;time=2016-06-25 17:25:45;t1=20.00;t2=18.56;v=163;milli=2102133;
id=13;time=2016-06-25 17:26:17;t1=20.00;t2=18.50;v=163;milli=2133028;
id=13;time=2016-06-25 17:26:48;t1=20.06;t2=18.44;v=163;milli=2163923;
id=13;time=2016-06-25 17:27:20;t1=20.00;t2=18.38;v=163;milli=2194818;
id=13;time=2016-06-25 17:27:51;t1=20.00;t2=18.38;v=163;milli=2225711;
id=13;time=2016-06-25 17:28:22;t1=19.94;t2=18.38;v=163;milli=2256612;
id=13;time=2016-06-25 17:28:54;t1=19.88;t2=18.38;v=163;milli=2287506;
id=13;time=2016-06-25 17:29:25;t1=19.81;t2=18.31;v=163;milli=2318399;
id=13;time=2016-06-25 17:29:57;t1=19.81;t2=18.31;v=163;milli=2349295;
id=13;time=2016-06-25 17:30:28;t1=19.75;t2=18.31;v=163;milli=2380190;
id=13;time=2016-06-25 17:30:59;t1=19.69;t2=18.25;v=163;milli=2411084;
id=13;time=2016-06-25 17:31:31;t1=19.69;t2=18.25;v=163;milli=2441977;
id=13;time=2016-06-25 17:32:02;t1=19.63;t2=18.19;v=163;milli=2472878;
id=13;time=2016-06-25 17:32:34;t1=19.56;t2=18.19;v=163;milli=2503773;
id=13;time=2016-06-25 17:33:05;t1=19.56;t2=18.19;v=163;milli=2534666;
id=13;time=2016-06-25 17:33:36;t1=19.50;t2=18.19;v=163;milli=2565561;
id=13;time=2016-06-25 17:34:08;t1=19.44;t2=18.19;v=163;milli=2596457;
id=13;time=2016-06-25 17:34:39;t1=19.44;t2=18.19;v=163;milli=2627350;
id=13;time=2016-06-25 17:35:11;t1=19.38;t2=18.13;v=163;milli=2658245;
id=13;time=2016-06-25 17:35:42;t1=19.38;t2=18.06;v=163;milli=2689139;
id=13;time=2016-06-25 17:36:13;t1=19.31;t2=18.06;v=163;milli=2720039;
id=13;time=2016-06-25 17:36:45;t1=19.31;t2=18.00;v=163;milli=2750942;
id=13;time=2016-06-25 17:37:16;t1=19.31;t2=18.00;v=163;milli=2781836;
id=13;time=2016-06-25 17:37:48;t1=19.25;t2=17.94;v=163;milli=2812732;
id=13;time=2016-06-25 17:38:19;t1=19.31;t2=18.00;v=163;milli=2843626;
id=13;time=2016-06-25 17:38:50;t1=19.44;t2=18.00;v=163;milli=2874519;
id=13;time=2016-06-25 17:39:22;t1=19.50;t2=18.00;v=163;milli=2905415;
id=13;time=2016-06-25 17:39:53;t1=19.44;t2=18.06;v=163;milli=2936315;
id=13;time=2016-06-25 17:40:25;t1=19.31;t2=18.06;v=163;milli=2967208;
id=13;time=2016-06-25 17:40:56;t1=19.25;t2=18.06;v=163;milli=2998103;
id=13;time=2016-06-25 17:41:27;t1=19.25;t2=18.06;v=163;milli=3028998;
id=13;time=2016-06-25 17:41:59;t1=19.19;t2=18.13;v=163;milli=3059893;
id=13;time=2016-06-25 17:42:30;t1=19.19;t2=18.06;v=163;milli=3090786;
id=13;time=2016-06-25 17:43:02;t1=19.13;t2=18.06;v=163;milli=3121681;
id=13;time=2016-06-25 17:43:33;t1=19.13;t2=18.06;v=163;milli=3152581;
id=13;time=2016-06-25 17:44:04;t1=19.13;t2=18.00;v=163;milli=3183475;
id=13;time=2016-06-25 17:44:36;t1=19.13;t2=17.94;v=163;milli=3214370;
id=13;time=2016-06-25 17:45:07;t1=19.13;t2=17.94;v=163;milli=3245266;
id=13;time=2016-06-25 17:45:39;t1=19.13;t2=17.88;v=163;milli=3276159;
id=13;time=2016-06-25 17:46:10;t1=19.19;t2=17.88;v=163;milli=3307053;
id=13;time=2016-06-25 17:46:41;t1=19.13;t2=17.88;v=163;milli=3337948;
id=13;time=2016-06-25 17:47:13;t1=19.06;t2=17.88;v=163;milli=3368848;
id=13;time=2016-06-25 17:47:44;t1=19.00;t2=17.88;v=163;milli=3399742;
